Gene,AD_mean,Ctrl_mean,Log2FC,P_value,Regulation
CCL2,0.0066,0.0023,1.5248,0.0,UP
NRG1,0.1822,0.0936,0.9609,0.0,UP
CX3CL1,0.0306,0.0226,0.4371,0.0,UP
PROS1,0.0818,0.063,0.3769,0.0,UP
MRC1,0.0447,0.0347,0.3668,0.000897,UP
MYD88,0.0052,0.0043,0.2767,0.057816,UP
LRP1,0.2843,0.2367,0.2642,0.0,UP
PTPRC,0.1497,0.1277,0.2291,1e-05,UP
TLR1,0.0717,0.0616,0.218,0.000893,UP
AXL,0.0952,0.0962,-0.016,0.681409,DOWN
APP,1.7346,1.7737,-0.0322,0.0,DOWN
ERBB4,2.0479,2.179,-0.0895,0.0,DOWN
CCR2,0.0002,0.0002,-0.0929,0.996137,DOWN
CD74,0.0893,0.0966,-0.1134,0.942805,DOWN
APOE,0.1209,0.137,-0.1808,0.004289,DOWN
CX3CR1,0.044,0.063,-0.5164,2e-06,DOWN
